Id,Description,Type,Tags,Status,Formalization,Notes
ELS-6-A,"For cars sold in USA and Canada, the daytime running light on the left side must be dimmed by 50% during direction blinking left.",ELS,,,,
ELS-6-B,"For cars sold in USA and Canada, the daytime running light on the right side must be dimmed by 50% during direction blinking right.",ELS,,,,
ELS-7,"If the driver activates the pitman arm during the three flashing cycles of tip-blinking for the same direction again, only the current flashing cycle is completed and then the new command is processed (either three flashing cycles due to tip-blinking or constant direction blinking).",Ignore,,,,
ELS-7-A,"If the driver activates the pitman arm during the three flashing cycles of tip-blinking for the same direction again (tip-blinking left), only the current flashing cycle is completed and then the new command is processed (either three flashing cycles due to tip-blinking left or constant direction blinking left).",ELS,,,,
ELS-7-B,"If the driver activates the pitman arm during the three flashing cycles of tip-blinking for the same direction again (tip-blinking right), only the current flashing cycle is completed and then the new command is processed (either three flashing cycles due to tip-blinking right or constant direction blinking right).",ELS,,,,
other010,"Hazard warning light. Tightly coupled with the direction blinking is the hazard warning light, which requirements are described in the following.",Other,,,,
ELS-8,"As long as the hazard warning light switch is pressed (active), all direction indicators flash synchronously. If the ignition key is in the ignition lock, the pulse ratio is bright to dark 1:1. If the ignition key is not in the lock, the pulse ratio is 1:2.",Ignore,,,,
ELS-8-A,"As long as the hazard warning light switch is pressed (active), all direction indicators (front left, exterior mirror left, rear left, front right, exterior mirror right, rear right) flash synchronously. If the ignition key is in the ignition lock (ignition is in position KeyInserted), the pulse ratio is bright to dark 1:1. If the ignition key is not in the lock (ignition is in position NoKeyInserted), the pulse ratio is 1:2.",ELS,,,,
ELS-9,"The adaptation of the pulse ratio must occur at the latest after two complete flashing cycles. Note: The reduction of the pulse is performed due to energy saving reasons, such that, in case of an emergency situation, the hazard warning light is active as long as possible before the car battery is empty.",ELS,,,,
ELS-10,The duration of a flashing cycle is 1 second.,ELS,,,,
ELS-11,"A flashing cycle (bright to dark) must always be completed, before a new flashing cycle can occur. Note: By the fact, that a flashing cycle must always be completed, a \"switching\" behavior of the indicator is avoided. Thus, for example a change of the pitman arm from \"tip-blinking\" to \"direction blinking\" or back has no visible effect.",ELS,,,,
ELS-12,"When hazard warning is deactivated again, the pitman arm is in position \"direction blinking left\" or \"direction blinking right\" ignition is On, the direction blinking cycle should be started (see Req. ELS-1).",Ignore,,,,
ELS-12-A,"When hazard warning light is deactivated again, the pitman arm is in position direction blinking left ignition is On (ignition is in position KeyInIgnitionOnPosition), the direction blinking left cycle should be started (see Req. ELS-1).",ELS,,,,
ELS-12-B,"When hazard warning light is deactivated again, the pitman arm is in position direction blinking right ignition is On (ignition is in position KeyInIgnitionOnPosition), the direction blinking right cycle should be started (see Req. ELS-1).",ELS,,,,
ELS-13,"If the warning light is activated, any tip-blinking will be ignored or stopped if it was started before.",Ignore,,,,
ELS-13-A,"If the hazard warning light is activated, tip-blinking left and tip-blinking right will be ignored or stopped if it was started before.",ELS,,,,
other011,"Low beam headlights and Cornering light. The function low beam headlights includes the functions daytime running light, ambient light, and parking light.",Other,,,,
ELS-14,"If the ignition is On and the light rotary switch is in the position On, then low beam headlights are activated.",Ignore,,,,
ELS-14-A,"If the ignition is On (ignition is in position KeyInIgnitionOnPosition) and the light rotary switch is in the position On, then low beam headlights are activated.",ELS,,,,
ELS-15,"While the ignition is in position KeyInserted: if the light rotary switch is turned to the position On, the low beam headlights are activated with 50% (to save power). With additionally activated ambient light, ambient light control (Req. ELS-19) has priority over Req. ELS-15.",ELS,,,,
ELS-16,"If the ignition is already off and the driver turns the light rotary switch to position Auto, the low beam headlights remain off or are deactivated (depending on the previous state). If ambient light is active (see Req. ELS-19), ambient light delays the deactivation of the low beam headlamps.",ELS,,,,
ELS-17,"With activated daytime running light, the low beam headlights are activated after starting the engine. The daytime running light remains active as long as the ignition key is in the ignition lock (i.e. KeyInserted or KeyInIgnitionOnPosition). With additionally activated ambient light, ambient light control (Req. ELS-19) has priority over daytime running light.",ELS,,,,
ELS-18,"If the light rotary switch is in position Auto and the ignition is On, the low beam headlights are activated as soon as the exterior brightness is lower than a threshold of 200 lx. If the exterior brightness exceeds a threshold of 250 lx, the low beam headlights are deactivated. In any case, the low beam headlights remain active at least for 3 seconds.",ELS,,,,
ELS-19,"Ambient light prolongs (keeps low beam headlamps at 100% if they have been active before) the activation of low beam headlamps (as ambient light) if ambient light has been activated, engine has been stopped (i.e. keyState changes from KeyInIgnitionOnPosition to NoKeyInserted or KeyInserted) and the exterior brightness outside the vehicle is lower than the threshold 200 lx. In this case, the low beam headlamps remain active or are activated. The low beam headlights are deactivated or parking light is activated (see Req. ELS-28) after 30 seconds. This time interval is reset by
- Opening or closing a door 
- Insertion or removal of the ignition key",ELS,,,,
ELS-20,-- Deleted requirement --,ELS,,,,
ELS-21,With activated darkness switch (only armored vehicles) the ambient lighting is not activated.,ELS,,,,
ELS-22,"Whenever the low or high beam headlights are activated, the tail lights are activated, too.",ELS,,,,
ELS-23,"In USA or Canada, tail lights realize the direction indicator lamps. In case of direction blinking or hazard blinking, blinking has preference against normal tail lights.",ELS,,,,
ELS-24,"Cornering light: If the low beam headlights are activated and direction blinking is requested, the cornering light is activated, when the vehicle drives slower than 10 km/h. 5 seconds after passing the corner (i.e. the direction blinking is not active any more for 5 seconds), the cornering light is switched off in a duration of 1 second (gentle fade-out).",Ignore,,,,
ELS-24-A,"Cornering light left: If the low beam headlights are activated and direction blinking left is requested, the cornering light left is activated, when the vehicle drives slower than 10 km/h. 5 seconds after passing the corner (i.e. the direction blinking left is not active any more for 5 seconds), the cornering light left is switched off in a duration of 1 second (gentle fade-out).",ELS,,,,
ELS-24-B,"Cornering light right: If the low beam headlights are activated and direction blinking right is requested, the cornering light right is activated, when the vehicle drives slower than 10 km/h. 5 seconds after passing the corner (i.e. the direction blinking right is not active any more for 5 seconds), the cornering light right is switched off in a duration of 1 second (gentle fade-out).",ELS,,,,
ELS-25,With activated darkness switch (only armored vehicles) the cornering light is not activated.,Ignore,,,,
ELS-25-A,With activated darkness switch (only armored vehicles) the cornering light left and the cornering light right are not activated.,ELS,,,,
ELS-26,"The cornering light is also activated, if the direction blinking is not activated, but all other constraints (see Req. ELS-24) are fulfilled and the steering wheel deflection is more than ±10°.",Ignore,,,,
ELS-26-A,"The cornering light left is also activated, if the direction blinking is not activated, but all other constraints (see Req. ELS-24) are fulfilled (the low beam headlights are activated and the vehicle drives slower than 10 km/h) and the steering wheel deflection is more than -10°.",ELS,,,,
ELS-26-B,"The cornering light right is also activated, if the direction blinking is not activated, but all other constraints (see Req. ELS-24) are fulfilled (the low beam headlights are activated and the vehicle drives slower than 10 km/h) and the steering wheel deflection is more than +10°.",ELS,,,,
ELS-27,"If reverse gear is activated, the opposite cornering light is activated as usual, i.e. if the direction indicator is set to the left, the right cornering light and if the steering is set to the right, the left cornering light is activated.",Ignore,,,,
ELS-27-A,"If reverse gear is activated, the opposite cornering light (cornering light left) is activated as usual (low beam headlights are activated and the vehicle drives slower than 10 km/h), i.e. if the direction indicator is set to the right or the steering is set to the right.",ELS,,,,
ELS-27-B,"If reverse gear is activated, the opposite cornering light (cornering light right) is activated as usual (low beam headlights are activated and the vehicle drives slower than 10 km/h), i.e. if the direction indicator is set to the left or the steering is set to the left.",ELS,,,,
ELS-28,"Parking light. The parking light is the low beam and the tail lamp on the left or right side of the vehicle to illuminate the vehicle if it is parked on a dark road at night. The parking light is activated, if the key is not inserted, the light switch is in position On, and the pitman arm is engaged in position left or right (2 / 3). To save battery charge, the parking light is activated with only 10% brightness of the normal low beam lamp and tail lamp. An active ambient light (see Req. ELS-19) delays parking light.",Ignore,,,,
ELS-28-A,"Parking light left: The parking light left is the low beam headlight and the tail lamp on the left side of the vehicle to illuminate the vehicle if it is parked on a dark road at night. The parking light left is activated, if the key is not inserted (ignition is in position NoKeyInserted), the light rotary switch is in position On, and the pitman arm is engaged in position direction blinking left. ",ELS,,,,
ELS-28-B,"Parking light right: The parking light right is the low beam headlight and the tail lamp on the right side of the vehicle to illuminate the vehicle if it is parked on a dark road at night. The parking light right is activated, if the key is not inserted (ignition is in position NoKeyInserted), the light rotary switch is in position On, and the pitman arm is engaged in position direction blinking right. ",ELS,,,,
ELS-28-C,"To save battery charge, the parking light left and the parking light right are activated with only 10% brightness of the normal low beam lamp (low beam headlight) and tail lamp.",ELS,,,,
ELS-28-D,An active ambient light (see Req. ELS-19) delays parking light left and parking light right.,ELS,,,,
ELS-29,"The normal brightness of low beam lamps, brake lights, direction indicators, cornering lights, and reverse light is 100%.",Ignore,,,,
ELS-29-A,"The normal brightness of low beam lamps (low beam headlights), brake lights, direction indicators (front left, exterior mirror left, rear left), cornering lights (cornering light left, cornering light right), and reverse light is 100%.",ELS,,,,
other012,"Manual high beam headlights. The low beam light is designed in such a way that it does not dazzle oncoming traffic. On country roads in particular, however, it is useful to illuminate a larger area when there is no oncoming traffic. High beam light fulfills this purpose.",Other,,,,
ELS-30,"The headlamp flasher is activated by pulling the pitman arm, i.e. as long as the pitman arm is pulled 1, the high beam headlight is activated.",Ignore,,,,
ELS-30-A,"The headlamp flasher is activated by pulling the pitman arm, i.e. as long as the pitman arm is pulled (Forward), the high beam headlight is activated.",ELS,,,,
ELS-31,"If the light rotary switch is in position On, pushing the pitman arm to 4 causes the activation of the high beam headlight with a fixed illumination area of 220 m and 100% luminous strength.",Ignore,,,,
ELS-31-A,"If the light rotary switch is in position On, pushing the pitman arm (Backward) causes the activation of the high beam headlight with a fixed illumination area of 220m and 100% luminous strength.",ELS,,,,
other013,"Adaptive high beam headlights. Frequent switching of the high beam is tiring for the driver. With the help of a built-in camera, which detects oncoming vehicles, this task can be automated so that the driver has better illumination of the road as often as possible without endangering oncoming traffic. In addition, the high beam headlight is optimized to always illuminate the appropriate area according to the current speed.",Other,,,,
ELS-32,"If the light rotary switch is in position Auto, the adaptive high beam is activated by moving the pitman arm to the back 4.",Ignore,,,,
ELS-32-A,"If the light rotary switch is in position Auto, the adaptive high beam headlight is activated by moving the pitman arm into position Backward.",ELS,,,,
ELS-33,"If adaptive high beam headlight is activated and the vehicle drives faster than 30 km/h and no light of an advancing vehicle is recognized by the camera, the street should be illuminated within 2 seconds according to the characteristic curve in Fig. 7 (for light illumination distance) and Fig. 8 (for luminous strength).",ELS,,,,
ELS-34,"If the camera recognizes the lights of an advancing vehicle, an activated high beam headlight is reduced to low beam headlight within 0.5 seconds by reducing the area of illumination to 65 meters by an adjustment of the headlight position as well as by reduction of the luminous strength to 30%.",ELS,,,,
ELS-35,"If no advancing vehicle is recognized any more, the high beam illumination is restored after 2 seconds.",Ignore,,,,
ELS-35-A,"If no advancing vehicle is recognized any more, the high beam headlight illumination is restored after 2 seconds.",ELS,,,,
ELS-36,"The light illumination distance of the high beam headlight is within 100m and 300m, depending on the vehicle speed (see characteristic curve in Fig. 7).",ELS,,,,
ELS-37,"If an adaptive cruise control is part of the vehicle, the light illumination distance is not calculated upon the actual vehicle speed but the target speed provided by the advanced cruise control.",ELS,,,,
ELS-38,"If the pitman arm is moved again in the horizontal neutral position, the adaptive high beam headlight is deactivated. The illumination of the street is reduced immediately (i.e. without gentle fade-out) to low beam headlights.",ELS,,,,
other014,"Emergency Brake light. For safety reasons, it is important to indicate braking to the drivers behind the vehicle. Studies have shown that a flickering brake light during an emergency stop shortens the reaction time of the following driver.",Other,,,,
ELS-39,"If the brake pedal is deflected more than 3°, all brake lamps have to be activated until the deflection is lower than 1° again.",Ignore,,,,
ELS-39-A,"If the brake pedal is deflected more than 3°, all brake lamps (brake lamp left, brake lamp right and brake lamp middle) have to be activated until the deflection is lower than 1° again.",ELS,,,,
ELS-40,"If the brake pedal is deflected more than 40.0° (i.e. full-brake application), the third brake lamp in the middle flashes with pulse ratio bright to dark 1:1 and a frequency of 6 ± 1 Hz (i.e. 360 ± 60 flashes per minute). The flashing stops only when the brake pedal is completely released.",Ignore,,,,
ELS-40-A,"If the brake pedal is deflected more than 40.0° (i.e. full-brake application), the brake lamp middle flashes with pulse ratio bright to dark 1:1 and a frequency of 6 ± 1 Hz (i.e. 360 ± 60 flashes per minute). The flashing stops only when the brake pedal is completely released.",ELS,,,,
other015,"Reverse light indicates that the reverse gear in engaged, i.e. the vehicle will move backwards.",Other,,,,
ELS-41,The reverse light is activated whenever the reverse gear is engaged.,ELS,,,,
other016,Fault handling. A malfunctioning lighting system is safety critical and must therefore be avoided. E.g. the failure of individual lamps is checked using a hardware circuit and indicated to the driver accordingly. In the following we describe how the software should react to over- or subvoltage in order to guarantee the most important functionality for as long as possible.,Other,,,,
ELS-42,"A subvoltage is present if the voltage in the vehicle electrical system is less than 8.5V. With subvoltage, the adaptive high beam headlight is not available.",Ignore,,,,
ELS-42-A,A subvoltage is present if the voltage in the vehicle electrical system is less than 8.5V.,ELS,,,,
ELS-42-B,"With subvoltage, the adaptive high beam headlight is not available.",ELS,,,,
ELS-43,"If the light rotary switch is in position Auto and the pitman arm is pulled, the high beam headlight is activated (see Req. ELS-31) even in case of subvoltage.",ELS,,,,check me. Evtl. Von els31 runterziehen
ELS-44,With subvoltage the ambient light is not available.,ELS,,,,
ELS-45,With subvoltage the cornering light is not available.,ELS,,,,
ELS-46,With subvoltage an activated parking light is switched off.,ELS,,,,
ELS-47,"An overvoltage is present if the voltage in the vehicle electrical system is more than 14.5V. With overvoltage, all lights must be activated with a light intensity of (100-(voltage-14.5)*20)%. This reduction serves the protection of the illuminant (protection from \"burning out\").",Ignore,,,,
ELS-47-A,An overvoltage is present if the voltage in the vehicle electrical system is more than 14.5V.,ELS,,,,
ELS-47-B,"With overvoltage, all lights must be activated with a light intensity of (100-(voltage-14.5)*20)%. This reduction serves the protection of the illuminant (protection from \"burning out\").",ELS,,,,
ELS-48,"With overvoltage, the illumination area requirements do not need to be respected (see Req. ELS-33 and Req. ELS-36).",ELS,,,,
ELS-49,"If the camera is not Ready, adaptive high beam headlights is not available. If light rotary switch is in position Auto and the pitman arm is in position 4 (see Req. ELS-32), manual high beam headlights are activated (see Req. ELS-31)",ELS,,,,
other017,"The table in appendix A defines all signals that either reflect the determined input of the various user interfaces and sensors or are used to control the actuators. For the sake of simplicity, all signals are available all the time. There are no timeouts or delays.",Other,,,,
